access,N_native,method,seed,succ_v,succ_n,useful
basic,10,dcf_excl,42,0.2209047619047619,0.2199142857142857,0.4408190476190476
basic,10,dcf_excl,123,0.2146095238095238,0.22004761904761905,0.43465714285714285
basic,10,dcf_excl,456,0.20887142857142857,0.2253190476190476,0.4341904761904762
basic,10,dcf_excl,789,0.22267142857142858,0.21921428571428572,0.44188571428571427
basic,10,dcf_excl,1234,0.21613333333333334,0.21218571428571428,0.4283190476190476
basic,10,pace,42,0.1631857142857143,0.43354761904761907,0.5967333333333333
basic,10,pace,123,0.17636666666666667,0.42422857142857145,0.6005952380952381
basic,10,pace,456,0.17704761904761904,0.43005238095238096,0.6071
basic,10,pace,789,0.1737857142857143,0.42834285714285714,0.6021285714285715
basic,10,pace,1234,0.16734285714285715,0.42854285714285717,0.5958857142857142
basic,10,oracle,42,0.3663571428571429,0.20102857142857142,0.5673857142857143
basic,10,oracle,123,0.35441904761904763,0.20153333333333334,0.555952380952381
basic,10,oracle,456,0.3780142857142857,0.19442380952380953,0.5724380952380952
basic,10,oracle,789,0.36801904761904763,0.20806190476190475,0.5760809523809524
basic,10,oracle,1234,0.38436190476190474,0.18304285714285715,0.5674047619047619
basic,20,dcf_excl,42,0.09413809523809524,0.20138571428571428,0.2955238095238095
basic,20,dcf_excl,123,0.10330952380952381,0.20978095238095237,0.3130904761904762
basic,20,dcf_excl,456,0.11031428571428571,0.20045238095238097,0.3107666666666667
basic,20,dcf_excl,789,0.11020952380952381,0.20534285714285713,0.315552380952381
basic,20,dcf_excl,1234,0.10296666666666666,0.1974142857142857,0.30038095238095236
basic,20,pace,42,0.06173809523809524,0.39616190476190477,0.4579
basic,20,pace,123,0.0532,0.3978047619047619,0.4510047619047619
basic,20,pace,456,0.0574,0.3914952380952381,0.44889523809523807
basic,20,pace,789,0.06485714285714286,0.3877333333333333,0.4525904761904762
basic,20,pace,1234,0.06187142857142857,0.3777857142857143,0.43965714285714286
basic,20,oracle,42,0.2554,0.22844761904761904,0.483847619047619
basic,20,oracle,123,0.24753333333333333,0.21888095238095237,0.4664142857142857
basic,20,oracle,456,0.25724285714285716,0.23171904761904763,0.48896190476190476
basic,20,oracle,789,0.25088571428571427,0.22199047619047618,0.47287619047619045
basic,20,oracle,1234,0.23661904761904762,0.22512380952380953,0.4617428571428571
rts,0,dcf_excl,42,0.7389714285714286,0.0,0.7389714285714286
rts,0,dcf_excl,123,0.7333666666666666,0.0,0.7333666666666666
rts,0,dcf_excl,456,0.7312380952380952,0.0,0.7312380952380952
rts,0,dcf_excl,789,0.7294428571428572,0.0,0.7294428571428572
rts,0,dcf_excl,1234,0.7378809523809524,0.0,0.7378809523809524
rts,0,pace,42,0.7166333333333333,0.0,0.7166333333333333
rts,0,pace,123,0.712352380952381,0.0,0.712352380952381
rts,0,pace,456,0.7154809523809523,0.0,0.7154809523809523
rts,0,pace,789,0.7159047619047619,0.0,0.7159047619047619
rts,0,pace,1234,0.7222380952380952,0.0,0.7222380952380952
rts,0,oracle,42,0.7285,0.0,0.7285
rts,0,oracle,123,0.7286809523809524,0.0,0.7286809523809524
rts,0,oracle,456,0.7297142857142858,0.0,0.7297142857142858
rts,0,oracle,789,0.7269428571428571,0.0,0.7269428571428571
rts,0,oracle,1234,0.7268285714285714,0.0,0.7268285714285714
rts,5,dcf_excl,42,0.4746952380952381,0.23897142857142858,0.7136666666666667
rts,5,dcf_excl,123,0.46423333333333333,0.2523761904761905,0.7166095238095238
rts,5,dcf_excl,456,0.47927142857142857,0.23446666666666666,0.7137380952380953
rts,5,dcf_excl,789,0.4831142857142857,0.23322380952380953,0.7163380952380952
rts,5,dcf_excl,1234,0.4732095238095238,0.23789047619047618,0.7111
rts,5,pace,42,0.38730476190476193,0.35541428571428574,0.7427190476190476
rts,5,pace,123,0.39457619047619047,0.3408,0.7353761904761905
rts,5,pace,456,0.3859238095238095,0.35555238095238095,0.7414761904761905
rts,5,pace,789,0.3973238095238095,0.34046190476190474,0.7377857142857143
rts,5,pace,1234,0.3885190476190476,0.34977142857142857,0.7382904761904762
rts,5,oracle,42,0.6066571428571429,0.14677619047619048,0.7534333333333333
rts,5,oracle,123,0.6009095238095238,0.1468,0.7477095238095238
rts,5,oracle,456,0.6032285714285714,0.14693809523809523,0.7501666666666666
rts,5,oracle,789,0.5853190476190476,0.16152857142857144,0.7468476190476191
rts,5,oracle,1234,0.6066380952380952,0.14542857142857143,0.7520666666666667
rts,10,dcf_excl,42,0.33458571428571426,0.33367619047619046,0.6682619047619047
rts,10,dcf_excl,123,0.3425047619047619,0.32467142857142856,0.6671761904761905
rts,10,dcf_excl,456,0.3367,0.32624761904761906,0.662947619047619
rts,10,dcf_excl,789,0.33855714285714283,0.32534761904761905,0.6639047619047619
rts,10,dcf_excl,1234,0.33836190476190475,0.3251,0.6634619047619048
rts,10,pace,42,0.23745714285714287,0.4827904761904762,0.720247619047619
rts,10,pace,123,0.24444285714285716,0.4749238095238095,0.7193666666666667
rts,10,pace,456,0.2409952380952381,0.4772047619047619,0.7182
rts,10,pace,789,0.24087619047619047,0.4783952380952381,0.7192714285714286
rts,10,pace,1234,0.2394904761904762,0.47997142857142855,0.7194619047619047
rts,10,oracle,42,0.49102380952380953,0.24047142857142856,0.7314952380952381
rts,10,oracle,123,0.49004285714285717,0.23945238095238094,0.7294952380952381
rts,10,oracle,456,0.47732380952380954,0.24621428571428572,0.7235380952380952
rts,10,oracle,789,0.4906904761904762,0.2428,0.7334904761904761
rts,10,oracle,1234,0.4963190476190476,0.2365095238095238,0.7328285714285714
rts,20,dcf_excl,42,0.1849095238095238,0.3756857142857143,0.5605952380952381
rts,20,dcf_excl,123,0.19403333333333334,0.36532380952380955,0.5593571428571429
rts,20,dcf_excl,456,0.2047,0.36616190476190474,0.5708619047619048
rts,20,dcf_excl,789,0.20403333333333334,0.3575809523809524,0.5616142857142857
rts,20,dcf_excl,1234,0.19959047619047618,0.36637142857142857,0.5659619047619048
rts,20,pace,42,0.12479047619047619,0.5189190476190476,0.6437095238095238
rts,20,pace,123,0.10988571428571428,0.5267809523809523,0.6366666666666667
rts,20,pace,456,0.12253333333333333,0.5182,0.6407333333333334
rts,20,pace,789,0.1225,0.5201904761904762,0.6426904761904761
rts,20,pace,1234,0.1145,0.5281047619047619,0.6426047619047619
rts,20,oracle,42,0.3639476190476191,0.3117190476190476,0.6756666666666666
rts,20,oracle,123,0.3657761904761905,0.3119,0.6776761904761904
rts,20,oracle,456,0.35500952380952383,0.3196857142857143,0.6746952380952381
rts,20,oracle,789,0.37147142857142856,0.30634761904761904,0.6778190476190477
rts,20,oracle,1234,0.3653,0.3176904761904762,0.6829904761904761
